編號,縣市別代碼,市話,轄區分局,路口名稱,A1,A2,A3,總件數,死亡人數,受傷人數,發生時間,主要肇因
1,66000,(04)23274275,第六分局,(西屯區)河南路與臺灣大道口,0,5,8,    13,0,    6,16-18,其他不當駕車行為
2,66000,(04)23274275,第六分局,(西屯區)環中路與市政路口,0,4,7,      11,0,    4,16-18,未保持行車安全間距
3,66000,(04)23274275,第六分局,(西屯區)安和路與臺灣大道口,0,6,4,     10,0,   10,16-18,其他不當駕車行為
4,66000,(04)23274275,第三分局,(東區)振興路與建成路口,0,7,3,        10,0,    9,12-14,其他不當駕車行為
5,66000,(04)23274275,第三分局,(南區)復興路與文心南路口,0,9,1,      10,0,    9,10-12,未保持行車安全距離
6,66000,(04)23274275,第六分局,(西屯區)臺灣大道與文心路口,0,6,4,    10,0,    8,12-14,未保持行車安全距離
7,66000,(04)23274275,第六分局,(西屯區)福康路與臺灣大道口,0,2,7,    9,0,     4,10-12,未保持行車安全距離
8,66000,(04)23274275,第五分局,(北屯區)昌平路與環中路口,0,6,2,     8,0,      14,06-08,未保持行車安全距離
9,66000,(04)23274275,第五分局,(北屯區)松竹路與北屯路口,0,5,3,    8,0,       8,22-24,未保持行車安全距離
10,66000,(04)23274275,第五分局,(北屯區)文心路與崇德路口,0,4,4,   8,0,       5,16-18,違反其他標誌(線)禁制
